"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2015","1,272","",
"01","Alabama","2016","1,390","",
"01","Alabama","2017","1,338","",
"01","Alabama","2018","1,355","",
"01","Alabama","2019","1,215","",
"01","Alabama","2020","1,105","",
"02","Alaska","2015","92","",
"02","Alaska","2016","101","",
"02","Alaska","2017","87","",
"02","Alaska","2018","117","",
"02","Alaska","2019","114","",
"02","Alaska","2020","99","",
"04","Arizona","2015","1,925","",
"04","Arizona","2016","2,207","",
"04","Arizona","2017","2,573","",
"04","Arizona","2018","2,732","",
"04","Arizona","2019","2,742","",
"04","Arizona","2020","2,504","",
"05","Arkansas","2015","781","",
"05","Arkansas","2016","773","",
"05","Arkansas","2017","820","",
"05","Arkansas","2018","876","",
"05","Arkansas","2019","981","",
"05","Arkansas","2020","778","",
"06","California","2015","9,753","",
"06","California","2016","9,820","",
"06","California","2017","9,888","",
"06","California","2018","10,052","",
"06","California","2019","10,476","",
"06","California","2020","8,817","",
"08","Colorado","2015","1,302","",
"08","Colorado","2016","1,353","",
"08","Colorado","2017","1,369","",
"08","Colorado","2018","1,346","",
"08","Colorado","2019","1,383","",
"08","Colorado","2020","1,158","",
"09","Connecticut","2015","887","",
"09","Connecticut","2016","927","",
"09","Connecticut","2017","865","",
"09","Connecticut","2018","878","",
"09","Connecticut","2019","890","",
"09","Connecticut","2020","764","",
"10","Delaware","2015","347","",
"10","Delaware","2016","362","",
"10","Delaware","2017","352","",
"10","Delaware","2018","364","",
"10","Delaware","2019","366","",
"10","Delaware","2020","287","",
"11","District of Columbia","2015","72","",
"11","District of Columbia","2016","69","",
"11","District of Columbia","2017","77","",
"11","District of Columbia","2018","58","",
"11","District of Columbia","2019","64","",
"11","District of Columbia","2020","57","",
"12","Florida","2015","7,195","",
"12","Florida","2016","7,226","",
"12","Florida","2017","7,739","",
"12","Florida","2018","7,664","",
"12","Florida","2019","7,749","",
"12","Florida","2020","7,313","",
"13","Georgia","2015","2,948","",
"13","Georgia","2016","2,855","",
"13","Georgia","2017","3,001","",
"13","Georgia","2018","2,931","",
"13","Georgia","2019","2,996","",
"13","Georgia","2020","2,562","",
"15","Hawaii","2015","399","",
"15","Hawaii","2016","447","",
"15","Hawaii","2017","376","",
"15","Hawaii","2018","449","",
"15","Hawaii","2019","486","",
"15","Hawaii","2020","458","",
"16","Idaho","2015","513","",
"16","Idaho","2016","562","",
"16","Idaho","2017","549","",
"16","Idaho","2018","579","",
"16","Idaho","2019","623","",
"16","Idaho","2020","629","",
"17","Illinois","2015","2,928","",
"17","Illinois","2016","3,237","",
"17","Illinois","2017","3,315","",
"17","Illinois","2018","3,316","",
"17","Illinois","2019","3,668","",
"17","Illinois","2020","3,048","",
"18","Indiana","2015","1,687","",
"18","Indiana","2017","1,764","",
"18","Indiana","2018","1,638","",
"18","Indiana","2019","1,540","",
"19","Iowa","2015","963","",
"19","Iowa","2016","1,055","",
"19","Iowa","2017","1,060","",
"19","Iowa","2018","1,120","",
"19","Iowa","2019","1,215","",
"19","Iowa","2020","1,092","",
"21","Kentucky","2015","1,394","",
"21","Kentucky","2016","1,491","",
"21","Kentucky","2017","1,414","",
"21","Kentucky","2018","1,503","",
"21","Kentucky","2019","1,503","",
"21","Kentucky","2020","1,326","",
"22","Louisiana","2015","966","",
"22","Louisiana","2016","845","",
"22","Louisiana","2017","971","",
"22","Louisiana","2018","1,013","",
"22","Louisiana","2019","992","",
"22","Louisiana","2020","780","",
"23","Maine","2015","490","",
"23","Maine","2016","504","",
"23","Maine","2017","454","",
"23","Maine","2018","538","",
"23","Maine","2019","475","",
"23","Maine","2020","528","",
"24","Maryland","2015","1,695","",
"24","Maryland","2016","1,648","",
"24","Maryland","2017","1,774","",
"24","Maryland","2018","1,724","",
"24","Maryland","2019","1,961","",
"24","Maryland","2020","1,619","",
"25","Massachusetts","2015","1,770","",
"25","Massachusetts","2016","2,045","",
"25","Massachusetts","2017","2,233","",
"25","Massachusetts","2018","1,428","",
"25","Massachusetts","2019","1,505","",
"25","Massachusetts","2020","1,217","",
"26","Michigan","2015","2,355","",
"26","Michigan","2016","2,528","",
"26","Michigan","2017","2,498","",
"26","Michigan","2018","2,480","",
"26","Michigan","2019","2,506","",
"26","Michigan","2020","2,176","",
"27","Minnesota","2015","1,989","",
"27","Minnesota","2016","2,008","",
"27","Minnesota","2017","2,249","",
"27","Minnesota","2018","2,526","",
"27","Minnesota","2019","2,573","",
"27","Minnesota","2020","2,239","",
"28","Mississippi","2015","536","",
"28","Mississippi","2016","618","",
"28","Mississippi","2017","698","",
"28","Mississippi","2018","606","",
"28","Mississippi","2019","677","",
"28","Mississippi","2020","610","",
"29","Missouri","2015","1,437","",
"29","Missouri","2016","1,338","",
"29","Missouri","2017","1,425","",
"29","Missouri","2018","1,320","",
"29","Missouri","2019","1,384","",
"29","Missouri","2020","1,290","",
"30","Montana","2015","330","",
"30","Montana","2016","350","",
"30","Montana","2017","392","",
"30","Montana","2018","394","",
"30","Montana","2019","411","",
"30","Montana","2020","317","",
"31","Nebraska","2015","527","",
"31","Nebraska","2016","606","",
"31","Nebraska","2017","614","",
"31","Nebraska","2018","658","",
"31","Nebraska","2019","650","",
"31","Nebraska","2020","464","",
"32","Nevada","2015","407","",
"32","Nevada","2016","632","",
"32","Nevada","2017","783","",
"32","Nevada","2018","778","",
"32","Nevada","2019","760","",
"33","New Hampshire","2015","530","",
"33","New Hampshire","2016","544","",
"33","New Hampshire","2017","629","",
"33","New Hampshire","2018","517","",
"33","New Hampshire","2019","600","",
"33","New Hampshire","2020","459","",
"34","New Jersey","2015","2,396","",
"34","New Jersey","2016","2,263","",
"34","New Jersey","2017","2,498","",
"34","New Jersey","2018","2,296","",
"34","New Jersey","2019","2,417","",
"34","New Jersey","2020","1,999","",
"35","New Mexico","2015","414","",
"35","New Mexico","2016","420","",
"35","New Mexico","2017","479","",
"35","New Mexico","2018","405","",
"35","New Mexico","2019","455","",
"35","New Mexico","2020","426","",
"36","New York","2015","4,143","",
"36","New York","2016","4,188","",
"36","New York","2017","4,244","",
"36","New York","2018","4,317","",
"36","New York","2019","4,488","",
"36","New York","2020","3,843","",
"37","North Carolina","2015","3,162","",
