"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2015","184","",
"01","Alabama","01001","Autauga","2016","201","",
"01","Alabama","01001","Autauga","2017","199","",
"01","Alabama","01001","Autauga","2018","190","",
"01","Alabama","01001","Autauga","2019","200","",
"01","Alabama","01001","Autauga","2020","202","",
"01","Alabama","01003","Baldwin","2015","190","",
"01","Alabama","01003","Baldwin","2016","206","",
"01","Alabama","01003","Baldwin","2017","204","",
"01","Alabama","01003","Baldwin","2018","199","",
"01","Alabama","01003","Baldwin","2019","207","",
"01","Alabama","01003","Baldwin","2020","211","",
"01","Alabama","01005","Barbour","2015","188","",
"01","Alabama","01005","Barbour","2016","205","",
"01","Alabama","01005","Barbour","2017","196","",
"01","Alabama","01005","Barbour","2018","190","",
"01","Alabama","01005","Barbour","2019","209","",
"01","Alabama","01005","Barbour","2020","211","",
"01","Alabama","01007","Bibb","2015","184","",
"01","Alabama","01007","Bibb","2016","198","",
"01","Alabama","01007","Bibb","2017","187","",
"01","Alabama","01007","Bibb","2018","186","",
"01","Alabama","01007","Bibb","2019","188","",
"01","Alabama","01007","Bibb","2020","207","",
"01","Alabama","01009","Blount","2015","172","",
"01","Alabama","01009","Blount","2016","190","",
"01","Alabama","01009","Blount","2017","203","",
"01","Alabama","01009","Blount","2018","189","",
"01","Alabama","01009","Blount","2019","202","",
"01","Alabama","01009","Blount","2020","198","",
"01","Alabama","01011","Bullock","2015","182","",
"01","Alabama","01011","Bullock","2016","204","",
"01","Alabama","01011","Bullock","2017","194","",
"01","Alabama","01011","Bullock","2018","189","",
"01","Alabama","01011","Bullock","2019","207","",
"01","Alabama","01011","Bullock","2020","210","",
"01","Alabama","01013","Butler","2015","192","",
"01","Alabama","01013","Butler","2016","202","",
"01","Alabama","01013","Butler","2017","203","",
"01","Alabama","01013","Butler","2018","194","",
"01","Alabama","01013","Butler","2019","200","",
"01","Alabama","01013","Butler","2020","212","",
"01","Alabama","01015","Calhoun","2015","178","",
"01","Alabama","01015","Calhoun","2016","190","",
"01","Alabama","01015","Calhoun","2017","185","",
"01","Alabama","01015","Calhoun","2018","177","",
"01","Alabama","01015","Calhoun","2019","193","",
"01","Alabama","01015","Calhoun","2020","193","",
"01","Alabama","01017","Chambers","2015","192","",
"01","Alabama","01017","Chambers","2016","198","",
"01","Alabama","01017","Chambers","2017","197","",
"01","Alabama","01017","Chambers","2018","190","",
"01","Alabama","01017","Chambers","2019","199","",
"01","Alabama","01017","Chambers","2020","197","",
"01","Alabama","01019","Cherokee","2015","174","",
"01","Alabama","01019","Cherokee","2016","188","",
"01","Alabama","01019","Cherokee","2017","185","",
"01","Alabama","01019","Cherokee","2018","178","",
"01","Alabama","01019","Cherokee","2019","195","",
"01","Alabama","01019","Cherokee","2020","184","",
"01","Alabama","01021","Chilton","2015","178","",
"01","Alabama","01021","Chilton","2016","200","",
"01","Alabama","01021","Chilton","2017","196","",
"01","Alabama","01021","Chilton","2018","195","",
"01","Alabama","01021","Chilton","2019","193","",
"01","Alabama","01021","Chilton","2020","201","",
"01","Alabama","01023","Choctaw","2015","189","",
"01","Alabama","01023","Choctaw","2016","204","",
"01","Alabama","01023","Choctaw","2017","196","",
"01","Alabama","01023","Choctaw","2018","191","",
"01","Alabama","01023","Choctaw","2019","201","",
"01","Alabama","01023","Choctaw","2020","200","",
"01","Alabama","01025","Clarke","2015","184","",
"01","Alabama","01025","Clarke","2016","201","",
"01","Alabama","01025","Clarke","2017","201","",
"01","Alabama","01025","Clarke","2018","204","",
"01","Alabama","01025","Clarke","2019","209","",
"01","Alabama","01025","Clarke","2020","206","",
"01","Alabama","01027","Clay","2015","178","",
"01","Alabama","01027","Clay","2016","193","",
"01","Alabama","01027","Clay","2017","189","",
"01","Alabama","01027","Clay","2018","180","",
"01","Alabama","01027","Clay","2019","191","",
"01","Alabama","01027","Clay","2020","202","",
"01","Alabama","01029","Cleburne","2015","179","",
"01","Alabama","01029","Cleburne","2016","194","",
"01","Alabama","01029","Cleburne","2017","184","",
"01","Alabama","01029","Cleburne","2018","183","",
"01","Alabama","01029","Cleburne","2019","190","",
"01","Alabama","01029","Cleburne","2020","187","",
"01","Alabama","01031","Coffee","2015","194","",
"01","Alabama","01031","Coffee","2016","205","",
"01","Alabama","01031","Coffee","2017","206","",
"01","Alabama","01031","Coffee","2018","208","",
"01","Alabama","01031","Coffee","2019","217","",
"01","Alabama","01031","Coffee","2020","218","",
"01","Alabama","01033","Colbert","2015","172","",
"01","Alabama","01033","Colbert","2016","186","",
"01","Alabama","01033","Colbert","2017","183","",
"01","Alabama","01033","Colbert","2018","173","",
"01","Alabama","01033","Colbert","2019","181","",
"01","Alabama","01033","Colbert","2020","191","",
"01","Alabama","01035","Conecuh","2015","186","",
"01","Alabama","01035","Conecuh","2016","196","",
"01","Alabama","01035","Conecuh","2017","200","",
"01","Alabama","01035","Conecuh","2018","191","",
"01","Alabama","01035","Conecuh","2019","200","",
"01","Alabama","01035","Conecuh","2020","217","",
"01","Alabama","01037","Coosa","2015","173","",
"01","Alabama","01037","Coosa","2016","195","",
"01","Alabama","01037","Coosa","2017","195","",
"01","Alabama","01037","Coosa","2018","196","",
"01","Alabama","01037","Coosa","2019","205","",
"01","Alabama","01037","Coosa","2020","205","",
"01","Alabama","01039","Covington","2015","196","",
"01","Alabama","01039","Covington","2016","207","",
"01","Alabama","01039","Covington","2017","209","",
"01","Alabama","01039","Covington","2018","193","",
"01","Alabama","01039","Covington","2019","203","",
"01","Alabama","01039","Covington","2020","209","",
"01","Alabama","01041","Crenshaw","2015","191","",
"01","Alabama","01041","Crenshaw","2016","203","",
"01","Alabama","01041","Crenshaw","2017","207","",
"01","Alabama","01041","Crenshaw","2018","197","",
"01","Alabama","01041","Crenshaw","2019","207","",
"01","Alabama","01041","Crenshaw","2020","211","",
"01","Alabama","01043","Cullman","2015","177","",
"01","Alabama","01043","Cullman","2016","189","",
"01","Alabama","01043","Cullman","2017","204","",
"01","Alabama","01043","Cullman","2018","185","",
"01","Alabama","01043","Cullman","2019","197","",
"01","Alabama","01043","Cullman","2020","193","",
"01","Alabama","01045","Dale","2015","187","",
"01","Alabama","01045","Dale","2016","201","",
"01","Alabama","01045","Dale","2017","196","",
"01","Alabama","01045","Dale","2018","195","",
"01","Alabama","01045","Dale","2019","212","",
"01","Alabama","01045","Dale","2020","218","",
"01","Alabama","01047","Dallas","2015","186","",
"01","Alabama","01047","Dallas","2016","193","",
"01","Alabama","01047","Dallas","2017","195","",
"01","Alabama","01047","Dallas","2018","193","",
"01","Alabama","01047","Dallas","2019","197","",
"01","Alabama","01047","Dallas","2020","213","",
"01","Alabama","01049","DeKalb","2015","174","",
"01","Alabama","01049","DeKalb","2016","190","",
"01","Alabama","01049","DeKalb","2017","187","",
"01","Alabama","01049","DeKalb","2018","173","",
"01","Alabama","01049","DeKalb","2019","197","",
"01","Alabama","01049","DeKalb","2020","184","",
"01","Alabama","01051","Elmore","2015","176","",
"01","Alabama","01051","Elmore","2016","197","",
"01","Alabama","01051","Elmore","2017","196","",
"01","Alabama","01051","Elmore","2018","196","",
"01","Alabama","01051","Elmore","2019","210","",
"01","Alabama","01051","Elmore","2020","206","",
"01","Alabama","01053","Escambia","2015","184","",
"01","Alabama","01053","Escambia","2016","196","",
"01","Alabama","01053","Escambia","2017","201","",
"01","Alabama","01053","Escambia","2018","197","",
"01","Alabama","01053","Escambia","2019","208","",
"01","Alabama","01053","Escambia","2020","215","",
"01","Alabama","01055","Etowah","2015","175","",
"01","Alabama","01055","Etowah","2016","188","",
"01","Alabama","01055","Etowah","2017","192","",
"01","Alabama","01055","Etowah","2018","177","",
"01","Alabama","01055","Etowah","2019","197","",
"01","Alabama","01055","Etowah","2020","199","",
"01","Alabama","01057","Fayette","2015","171","",
"01","Alabama","01057","Fayette","2016","188","",
"01","Alabama","01057","Fayette","2017","173","",
"01","Alabama","01057","Fayette","2018","178","",
"01","Alabama","01057","Fayette","2019","189","",
"01","Alabama","01057","Fayette","2020","198","",
"01","Alabama","01059","Franklin","2015","170","",
"01","Alabama","01059","Franklin","2016","188","",
"01","Alabama","01059","Franklin","2017","179","",
"01","Alabama","01059","Franklin","2018","175","",
"01","Alabama","01059","Franklin","2019","183","",
"01","Alabama","01059","Franklin","2020","193","",
"01","Alabama","01061","Geneva","2015","194","",
"01","Alabama","01061","Geneva","2016","200","",
"01","Alabama","01061","Geneva","2017","202","",
"01","Alabama","01061","Geneva","2018","202","",
"01","Alabama","01061","Geneva","2019","219","",
"01","Alabama","01061","Geneva","2020","218","",
"01","Alabama","01063","Greene","2015","175","",
